Width,Height,Roi.X1,Roi.Y1,Roi.X2,Roi.Y2,ClassId,Path
59,54,5,5,54,49,Sa?a_Tehlikeli_Viraj,Train/20/00020_00000_00021.png
64,57,6,5,59,52,Sa?a_Tehlikeli_Viraj,Train/20/00020_00000_00022.png
70,61,6,5,64,56,Sa?a_Tehlikeli_Viraj,Train/20/00020_00000_00023.png
76,69,6,6,70,63,Sa?a_Tehlikeli_Viraj,Train/20/00020_00000_00024.png
86,75,8,6,79,69,Sa?a_Tehlikeli_Viraj,Train/20/00020_00000_00025.png
97,87,8,7,89,80,Sa?a_Tehlikeli_Viraj,Train/20/00020_00000_00026.png
111,100,9,8,102,92,Sa?a_Tehlikeli_Viraj,Train/20/00020_00000_00027.png
131,119,12,11,120,109,Sa?a_Tehlikeli_Viraj,Train/20/00020_00000_00028.png
166,152,15,14,152,139,Sa?a_Tehlikeli_Viraj,Train/20/00020_00000_00029.png
29,31,5,6,24,26,Sa?a_Tehlikeli_Viraj,Train/20/00020_00001_00000.png
31,30,6,5,25,25,Sa?a_Tehlikeli_Viraj,Train/20/00020_00001_00001.png
31,31,5,6,26,26,Sa?a_Tehlikeli_Viraj,Train/20/00020_00001_00002.png
33,31,6,5,28,25,Sa?a_Tehlikeli_Viraj,Train/20/00020_00001_00003.png
34,32,5,6,29,27,Sa?a_Tehlikeli_Viraj,Train/20/00020_00001_00004.png
36,33,6,6,30,27,Sa?a_Tehlikeli_Viraj,Train/20/00020_00001_00005.png
37,34,6,6,32,29,Sa?a_Tehlikeli_Viraj,Train/20/00020_00001_00006.png
37,34,5,5,31,28,Sa?a_Tehlikeli_Viraj,Train/20/00020_00001_00007.png
38,36,5,6,33,31,Sa?a_Tehlikeli_Viraj,Train/20/00020_00001_00008.png
38,35,5,5,33,30,Sa?a_Tehlikeli_Viraj,Train/20/00020_00001_00009.png
40,37,5,6,35,32,Sa?a_Tehlikeli_Viraj,Train/20/00020_00001_00010.png
41,37,5,5,36,31,Sa?a_Tehlikeli_Viraj,Train/20/00020_00001_00011.png
43,39,5,6,37,33,Sa?a_Tehlikeli_Viraj,Train/20/00020_00001_00012.png
44,39,6,6,39,34,Sa?a_Tehlikeli_Viraj,Train/20/00020_00001_00013.png
44,39,5,5,39,34,Sa?a_Tehlikeli_Viraj,Train/20/00020_00001_00014.png
45,41,5,6,40,35,Sa?a_Tehlikeli_Viraj,Train/20/00020_00001_00015.png
47,41,6,6,42,36,Sa?a_Tehlikeli_Viraj,Train/20/00020_00001_00016.png
44,42,5,6,39,37,Sa?a_Tehlikeli_Viraj,Train/20/00020_00001_00017.png
45,42,5,6,40,37,Sa?a_Tehlikeli_Viraj,Train/20/00020_00001_00018.png
50,42,6,5,45,37,Sa?a_Tehlikeli_Viraj,Train/20/00020_00001_00019.png
50,43,5,5,45,38,Sa?a_Tehlikeli_Viraj,Train/20/00020_00001_00020.png
51,44,5,5,46,39,Sa?a_Tehlikeli_Viraj,Train/20/00020_00001_00021.png
54,46,6,6,48,41,Sa?a_Tehlikeli_Viraj,Train/20/00020_00001_00022.png
55,47,6,5,50,42,Sa?a_Tehlikeli_Viraj,Train/20/00020_00001_00023.png
57,49,6,6,51,44,Sa?a_Tehlikeli_Viraj,Train/20/00020_00001_00024.png
59,51,6,6,53,46,Sa?a_Tehlikeli_Viraj,Train/20/00020_00001_00025.png
59,52,5,6,54,47,Sa?a_Tehlikeli_Viraj,Train/20/00020_00001_00026.png
63,54,6,5,58,48,Sa?a_Tehlikeli_Viraj,Train/20/00020_00001_00027.png
65,56,6,6,59,51,Sa?a_Tehlikeli_Viraj,Train/20/00020_00001_00028.png
69,58,6,5,63,53,Sa?a_Tehlikeli_Viraj,Train/20/00020_00001_00029.png
33,32,5,5,28,27,Sa?a_Tehlikeli_Viraj,Train/20/00020_00002_00000.png
33,33,5,6,28,28,Sa?a_Tehlikeli_Viraj,Train/20/00020_00002_00001.png
35,35,6,6,30,29,Sa?a_Tehlikeli_Viraj,Train/20/00020_00002_00002.png
35,35,5,6,30,30,Sa?a_Tehlikeli_Viraj,Train/20/00020_00002_00003.png
36,34,6,5,31,29,Sa?a_Tehlikeli_Viraj,Train/20/00020_00002_00004.png
36,36,5,6,31,31,Sa?a_Tehlikeli_Viraj,Train/20/00020_00002_00005.png
38,37,6,6,33,32,Sa?a_Tehlikeli_Viraj,Train/20/00020_00002_00006.png
38,37,6,6,33,32,Sa?a_Tehlikeli_Viraj,Train/20/00020_00002_00007.png
38,37,5,5,33,32,Sa?a_Tehlikeli_Viraj,Train/20/00020_00002_00008.png
39,39,5,6,34,34,Sa?a_Tehlikeli_Viraj,Train/20/00020_00002_00009.png
41,40,5,6,36,35,Sa?a_Tehlikeli_Viraj,Train/20/00020_00002_00010.png
43,40,6,6,38,35,Sa?a_Tehlikeli_Viraj,Train/20/00020_00002_00011.png
44,41,6,6,39,36,Sa?a_Tehlikeli_Viraj,Train/20/00020_00002_00012.png
44,42,6,5,39,37,Sa?a_Tehlikeli_Viraj,Train/20/00020_00002_00013.png
45,44,6,6,40,39,Sa?a_Tehlikeli_Viraj,Train/20/00020_00002_00014.png
47,46,5,6,42,41,Sa?a_Tehlikeli_Viraj,Train/20/00020_00002_00015.png
49,46,6,5,44,41,Sa?a_Tehlikeli_Viraj,Train/20/00020_00002_00016.png
50,48,6,6,45,43,Sa?a_Tehlikeli_Viraj,Train/20/00020_00002_00017.png
52,51,5,6,47,46,Sa?a_Tehlikeli_Viraj,Train/20/00020_00002_00018.png
55,52,6,5,50,47,Sa?a_Tehlikeli_Viraj,Train/20/00020_00002_00019.png
56,53,6,5,51,48,Sa?a_Tehlikeli_Viraj,Train/20/00020_00002_00020.png
58,57,5,6,53,52,Sa?a_Tehlikeli_Viraj,Train/20/00020_00002_00021.png
61,59,6,6,56,53,Sa?a_Tehlikeli_Viraj,Train/20/00020_00002_00022.png
63,59,6,5,58,54,Sa?a_Tehlikeli_Viraj,Train/20/00020_00002_00023.png
68,65,6,6,62,60,Sa?a_Tehlikeli_Viraj,Train/20/00020_00002_00024.png
72,71,7,7,66,64,Sa?a_Tehlikeli_Viraj,Train/20/00020_00002_00025.png
81,77,8,7,74,71,Sa?a_Tehlikeli_Viraj,Train/20/00020_00002_00026.png
87,81,8,7,80,74,Sa?a_Tehlikeli_Viraj,Train/20/00020_00002_00027.png
92,85,8,7,84,78,Sa?a_Tehlikeli_Viraj,Train/20/00020_00002_00028.png
105,99,10,8,96,91,Sa?a_Tehlikeli_Viraj,Train/20/00020_00002_00029.png
34,34,5,6,29,29,Sa?a_Tehlikeli_Viraj,Train/20/00020_00003_00000.png
35,34,5,5,29,28,Sa?a_Tehlikeli_Viraj,Train/20/00020_00003_00001.png
37,35,6,5,32,29,Sa?a_Tehlikeli_Viraj,Train/20/00020_00003_00002.png
38,36,6,6,33,31,Sa?a_Tehlikeli_Viraj,Train/20/00020_00003_00003.png
38,37,6,6,33,31,Sa?a_Tehlikeli_Viraj,Train/20/00020_00003_00004.png
39,38,5,6,33,32,Sa?a_Tehlikeli_Viraj,Train/20/00020_00003_00005.png
39,38,5,6,34,33,Sa?a_Tehlikeli_Viraj,Train/20/00020_00003_00006.png
40,38,6,5,35,32,Sa?a_Tehlikeli_Viraj,Train/20/00020_00003_00007.png
42,39,6,6,37,34,Sa?a_Tehlikeli_Viraj,Train/20/00020_00003_00008.png
42,39,5,5,37,34,Sa?a_Tehlikeli_Viraj,Train/20/00020_00003_00009.png
43,41,5,6,38,36,Sa?a_Tehlikeli_Viraj,Train/20/00020_00003_00010.png
45,43,5,6,40,38,Sa?a_Tehlikeli_Viraj,Train/20/00020_00003_00011.png
46,44,5,6,41,39,Sa?a_Tehlikeli_Viraj,Train/20/00020_00003_00012.png
48,45,6,6,43,40,Sa?a_Tehlikeli_Viraj,Train/20/00020_00003_00013.png
49,47,5,5,44,41,Sa?a_Tehlikeli_Viraj,Train/20/00020_00003_00014.png
51,49,6,6,46,44,Sa?a_Tehlikeli_Viraj,Train/20/00020_00003_00015.png
53,51,6,6,48,45,Sa?a_Tehlikeli_Viraj,Train/20/00020_00003_00016.png
54,51,6,5,49,46,Sa?a_Tehlikeli_Viraj,Train/20/00020_00003_00017.png
57,54,6,6,51,49,Sa?a_Tehlikeli_Viraj,Train/20/00020_00003_00018.png
58,56,5,6,53,51,Sa?a_Tehlikeli_Viraj,Train/20/00020_00003_00019.png
62,58,5,5,57,53,Sa?a_Tehlikeli_Viraj,Train/20/00020_00003_00020.png
64,61,5,6,58,56,Sa?a_Tehlikeli_Viraj,Train/20/00020_00003_00021.png
67,64,6,6,61,59,Sa?a_Tehlikeli_Viraj,Train/20/00020_00003_00022.png
73,71,6,6,67,65,Sa?a_Tehlikeli_Viraj,Train/20/00020_00003_00023.png
77,75,7,7,71,69,Sa?a_Tehlikeli_Viraj,Train/20/00020_00003_00024.png
83,80,8,8,76,73,Sa?a_Tehlikeli_Viraj,Train/20/00020_00003_00025.png
92,86,8,7,84,79,Sa?a_Tehlikeli_Viraj,Train/20/00020_00003_00026.png
100,95,9,9,92,87,Sa?a_Tehlikeli_Viraj,Train/20/00020_00003_00027.png
106,99,10,9,97,91,Sa?a_Tehlikeli_Viraj,Train/20/00020_00003_00028.png
117,118,7,11,107,108,Sa?a_Tehlikeli_Viraj,Train/20/00020_00003_00029.png
29,29,6,6,24,24,Sa?a_Tehlikeli_Viraj,Train/20/00020_00004_00000.png
29,29,6,6,24,24,Sa?a_Tehlikeli_Viraj,Train/20/00020_00004_00001.png
31,31,6,6,26,26,Sa?a_Tehlikeli_Viraj,Train/20/00020_00004_00002.png
30,31,5,6,25,26,Sa?a_Tehlikeli_Viraj,Train/20/00020_00004_00003.png
32,33,5,6,27,28,Sa?a_Tehlikeli_Viraj,Train/20/00020_00004_00004.png
32,33,5,6,27,28,Sa?a_Tehlikeli_Viraj,Train/20/00020_00004_00005.png
33,32,6,5,28,27,Sa?a_Tehlikeli_Viraj,Train/20/00020_00004_00006.png
33,33,6,6,28,28,Sa?a_Tehlikeli_Viraj,Train/20/00020_00004_00007.png
34,33,6,5,29,28,Sa?a_Tehlikeli_Viraj,Train/20/00020_00004_00008.png
33,34,5,6,28,29,Sa?a_Tehlikeli_Viraj,Train/20/00020_00004_00009.png
33,34,5,6,28,29,Sa?a_Tehlikeli_Viraj,Train/20/00020_00004_00010.png
36,35,6,5,31,30,Sa?a_Tehlikeli_Viraj,Train/20/00020_00004_00011.png
36,36,5,5,31,31,Sa?a_Tehlikeli_Viraj,Train/20/00020_00004_00012.png
36,37,5,6,31,32,Sa?a_Tehlikeli_Viraj,Train/20/00020_00004_00013.png
37,37,6,6,32,32,Sa?a_Tehlikeli_Viraj,Train/20/00020_00004_00014.png
37,37,6,6,32,32,Sa?a_Tehlikeli_Viraj,Train/20/00020_00004_00015.png
41,41,6,6,36,36,Sa?a_Tehlikeli_Viraj,Train/20/00020_00004_00016.png
41,41,6,6,36,36,Sa?a_Tehlikeli_Viraj,Train/20/00020_00004_00017.png
41,40,6,5,36,35,Sa?a_Tehlikeli_Viraj,Train/20/00020_00004_00018.png
40,41,5,6,35,36,Sa?a_Tehlikeli_Viraj,Train/20/00020_00004_00019.png
41,40,6,5,36,35,Sa?a_Tehlikeli_Viraj,Train/20/00020_00004_00020.png
40,41,5,6,35,36,Sa?a_Tehlikeli_Viraj,Train/20/00020_00004_00021.png
40,40,5,5,35,35,Sa?a_Tehlikeli_Viraj,Train/20/00020_00004_00022.png
42,42,5,5,37,37,Sa?a_Tehlikeli_Viraj,Train/20/00020_00004_00023.png
44,44,6,6,39,39,Sa?a_Tehlikeli_Viraj,Train/20/00020_00004_00024.png
47,46,6,5,42,41,Sa?a_Tehlikeli_Viraj,Train/20/00020_00004_00025.png
48,49,5,6,43,44,Sa?a_Tehlikeli_Viraj,Train/20/00020_00004_00026.png
52,53,5,6,47,48,Sa?a_Tehlikeli_Viraj,Train/20/00020_00004_00027.png
54,55,5,6,49,50,Sa?a_Tehlikeli_Viraj,Train/20/00020_00004_00028.png
58,58,5,5,53,53,Sa?a_Tehlikeli_Viraj,Train/20/00020_00004_00029.png
28,26,5,6,22,21,Sa?a_Tehlikeli_Viraj,Train/20/00020_00005_00000.png
28,26,5,5,22,20,Sa?a_Tehlikeli_Viraj,Train/20/00020_00005_00001.png
30,28,6,6,24,22,Sa?a_Tehlikeli_Viraj,Train/20/00020_00005_00002.png
30,29,5,6,25,24,Sa?a_Tehlikeli_Viraj,Train/20/00020_00005_00003.png
30,29,5,6,25,24,Sa?a_Tehlikeli_Viraj,Train/20/00020_00005_00004.png
32,29,6,5,27,24,Sa?a_Tehlikeli_Viraj,Train/20/00020_00005_00005.png
32,29,5,5,26,24,Sa?a_Tehlikeli_Viraj,Train/20/00020_00005_00006.png
32,31,5,6,27,26,Sa?a_Tehlikeli_Viraj,Train/20/00020_00005_00007.png
33,30,6,5,28,25,Sa?a_Tehlikeli_Viraj,Train/20/00020_00005_00008.png
33,31,5,5,27,25,Sa?a_Tehlikeli_Viraj,Train/20/00020_00005_00009.png
35,32,6,5,30,27,Sa?a_Tehlikeli_Viraj,Train/20/00020_00005_00010.png
36,33,5,5,30,28,Sa?a_Tehlikeli_Viraj,Train/20/00020_00005_00011.png
38,35,6,6,33,30,Sa?a_Tehlikeli_Viraj,Train/20/00020_00005_00012.png
39,35,6,5,33,29,Sa?a_Tehlikeli_Viraj,Train/20/00020_00005_00013.png
40,37,6,6,34,31,Sa?a_Tehlikeli_Viraj,Train/20/00020_00005_00014.png
40,37,5,6,34,32,Sa?a_Tehlikeli_Viraj,Train/20/00020_00005_00015.png
40,38,5,5,35,32,Sa?a_Tehlikeli_Viraj,Train/20/00020_00005_00016.png
43,40,6,6,38,35,Sa?a_Tehlikeli_Viraj,Train/20/00020_00005_00017.png
44,42,6,6,39,36,Sa?a_Tehlikeli_Viraj,Train/20/00020_00005_00018.png
46,42,6,5,41,37,Sa?a_Tehlikeli_Viraj,Train/20/00020_00005_00019.png
48,44,6,5,43,39,Sa?a_Tehlikeli_Viraj,Train/20/00020_00005_00020.png
49,47,5,6,44,42,Sa?a_Tehlikeli_Viraj,Train/20/00020_00005_00021.png
49,47,5,6,44,42,Sa?a_Tehlikeli_Viraj,Train/20/00020_00005_00022.png
51,48,5,5,46,43,Sa?a_Tehlikeli_Viraj,Train/20/00020_00005_00023.png
51,48,5,5,46,43,Sa?a_Tehlikeli_Viraj,Train/20/00020_00005_00024.png
53,50,6,6,48,45,Sa?a_Tehlikeli_Viraj,Train/20/00020_00005_00025.png
55,51,6,5,50,46,Sa?a_Tehlikeli_Viraj,Train/20/00020_00005_00026.png
59,55,5,6,54,50,Sa?a_Tehlikeli_Viraj,Train/20/00020_00005_00027.png
68,60,7,5,62,55,Sa?a_Tehlikeli_Viraj,Train/20/00020_00005_00028.png
74,67,7,6,68,61,Sa?a_Tehlikeli_Viraj,Train/20/00020_00005_00029.png
27,25,6,5,22,20,Sa?a_Tehlikeli_Viraj,Train/20/00020_00006_00000.png
27,27,6,6,22,21,Sa?a_Tehlikeli_Viraj,Train/20/00020_00006_00001.png
28,28,5,6,22,22,Sa?a_Tehlikeli_Viraj,Train/20/00020_00006_00002.png
29,27,5,5,23,22,Sa?a_Tehlikeli_Viraj,Train/20/00020_00006_00003.png
30,28,6,5,25,22,Sa?a_Tehlikeli_Viraj,Train/20/00020_00006_00004.png
30,28,6,6,25,23,Sa?a_Tehlikeli_Viraj,Train/20/00020_00006_00005.png
31,29,6,6,26,24,Sa?a_Tehlikeli_Viraj,Train/20/00020_00006_00006.png
32,30,5,6,26,25,Sa?a_Tehlikeli_Viraj,Train/20/00020_00006_00007.png
33,31,6,5,28,25,Sa?a_Tehlikeli_Viraj,Train/20/00020_00006_00008.png
35,31,6,5,29,25,Sa?a_Tehlikeli_Viraj,Train/20/00020_00006_00009.png
35,32,5,6,29,27,Sa?a_Tehlikeli_Viraj,Train/20/00020_00006_00010.png
35,34,5,6,30,28,Sa?a_Tehlikeli_Viraj,Train/20/00020_00006_00011.png
37,35,5,6,31,29,Sa?a_Tehlikeli_Viraj,Train/20/00020_00006_00012.png
38,36,5,6,32,30,Sa?a_Tehlikeli_Viraj,Train/20/00020_00006_00013.png
39,36,5,5,33,30,Sa?a_Tehlikeli_Viraj,Train/20/00020_00006_00014.png
41,38,6,6,35,32,Sa?a_Tehlikeli_Viraj,Train/20/00020_00006_00015.png
41,39,5,6,36,33,Sa?a_Tehlikeli_Viraj,Train/20/00020_00006_00016.png
43,40,6,6,38,34,Sa?a_Tehlikeli_Viraj,Train/20/00020_00006_00017.png
45,42,5,6,40,36,Sa?a_Tehlikeli_Viraj,Train/20/00020_00006_00018.png
49,44,6,6,44,39,Sa?a_Tehlikeli_Viraj,Train/20/00020_00006_00019.png
50,44,6,5,45,39,Sa?a_Tehlikeli_Viraj,Train/20/00020_00006_00020.png
52,46,5,5,47,40,Sa?a_Tehlikeli_Viraj,Train/20/00020_00006_00021.png
55,49,5,5,50,43,Sa?a_Tehlikeli_Viraj,Train/20/00020_00006_00022.png
60,52,6,5,54,46,Sa?a_Tehlikeli_Viraj,Train/20/00020_00006_00023.png
62,55,5,6,57,50,Sa?a_Tehlikeli_Viraj,Train/20/00020_00006_00024.png
67,57,6,6,61,52,Sa?a_Tehlikeli_Viraj,Train/20/00020_00006_00025.png
72,60,6,5,65,55,Sa?a_Tehlikeli_Viraj,Train/20/00020_00006_00026.png
76,66,6,6,69,60,Sa?a_Tehlikeli_Viraj,Train/20/00020_00006_00027.png
84,71,8,6,76,64,Sa?a_Tehlikeli_Viraj,Train/20/00020_00006_00028.png
89,75,8,6,81,69,Sa?a_Tehlikeli_Viraj,Train/20/00020_00006_00029.png
27,27,6,6,22,22,Sa?a_Tehlikeli_Viraj,Train/20/00020_00007_00000.png
27,27,6,6,22,22,Sa?a_Tehlikeli_Viraj,Train/20/00020_00007_00001.png
26,27,5,6,21,22,Sa?a_Tehlikeli_Viraj,Train/20/00020_00007_00002.png
27,28,5,6,22,23,Sa?a_Tehlikeli_Viraj,Train/20/00020_00007_00003.png
27,28,5,6,22,23,Sa?a_Tehlikeli_Viraj,Train/20/00020_00007_00004.png
28,28,6,6,23,23,Sa?a_Tehlikeli_Viraj,Train/20/00020_00007_00005.png
27,28,5,6,22,23,Sa?a_Tehlikeli_Viraj,Train/20/00020_00007_00006.png
27,28,5,6,22,23,Sa?a_Tehlikeli_Viraj,Train/20/00020_00007_00007.png
27,28,5,6,22,23,Sa?a_Tehlikeli_Viraj,Train/20/00020_00007_00008.png
28,28,5,5,23,23,Sa?a_Tehlikeli_Viraj,Train/20/00020_00007_00009.png
27,27,5,5,22,22,Sa?a_Tehlikeli_Viraj,Train/20/00020_00007_00010.png
28,29,5,6,23,24,Sa?a_Tehlikeli_Viraj,Train/20/00020_00007_00011.png
28,28,5,5,23,23,Sa?a_Tehlikeli_Viraj,Train/20/00020_00007_00012.png
30,30,5,5,25,25,Sa?a_Tehlikeli_Viraj,Train/20/00020_00007_00013.png
30,30,5,5,25,25,Sa?a_Tehlikeli_Viraj,Train/20/00020_00007_00014.png
31,32,5,6,25,27,Sa?a_Tehlikeli_Viraj,Train/20/00020_00007_00015.png
33,32,6,5,28,27,Sa?a_Tehlikeli_Viraj,Train/20/00020_00007_00016.png
34,35,5,6,29,30,Sa?a_Tehlikeli_Viraj,Train/20/00020_00007_00017.png
38,36,6,5,33,31,Sa?a_Tehlikeli_Viraj,Train/20/00020_00007_00018.png
40,39,5,6,35,34,Sa?a_Tehlikeli_Viraj,Train/20/00020_00007_00019.png
41,41,5,6,36,35,Sa?a_Tehlikeli_Viraj,Train/20/00020_00007_00020.png
44,42,5,5,38,36,Sa?a_Tehlikeli_Viraj,Train/20/00020_00007_00021.png
48,45,6,5,43,40,Sa?a_Tehlikeli_Viraj,Train/20/00020_00007_00022.png
53,50,6,6,47,45,Sa?a_Tehlikeli_Viraj,Train/20/00020_00007_00023.png
57,55,5,6,52,50,Sa?a_Tehlikeli_Viraj,Train/20/00020_00007_00024.png
63,60,5,5,58,55,Sa?a_Tehlikeli_Viraj,Train/20/00020_00007_00025.png
74,71,7,7,68,65,Sa?a_Tehlikeli_Viraj,Train/20/00020_00007_00026.png
88,84,8,7,81,77,Sa?a_Tehlikeli_Viraj,Train/20/00020_00007_00027.png
106,100,10,8,97,92,Sa?a_Tehlikeli_Viraj,Train/20/00020_00007_00028.png
124,119,11,10,114,109,Sa?a_Tehlikeli_Viraj,Train/20/00020_00007_00029.png
30,30,5,5,25,25,Sa?a_Tehlikeli_Viraj,Train/20/00020_00008_00000.png
30,31,5,6,25,26,Sa?a_Tehlikeli_Viraj,Train/20/00020_00008_00001.png
30,30,5,5,25,25,Sa?a_Tehlikeli_Viraj,Train/20/00020_00008_00002.png
30,31,5,6,25,26,Sa?a_Tehlikeli_Viraj,Train/20/00020_00008_00003.png
31,31,5,5,26,26,Sa?a_Tehlikeli_Viraj,Train/20/00020_00008_00004.png
32,31,6,5,27,26,Sa?a_Tehlikeli_Viraj,Train/20/00020_00008_00005.png
32,31,6,5,27,26,Sa?a_Tehlikeli_Viraj,Train/20/00020_00008_00006.png
32,33,5,6,27,28,Sa?a_Tehlikeli_Viraj,Train/20/00020_00008_00007.png
34,35,5,6,29,30,Sa?a_Tehlikeli_Viraj,Train/20/00020_00008_00008.png
35,34,6,5,30,29,Sa?a_Tehlikeli_Viraj,Train/20/00020_00008_00009.png
34,34,5,5,29,29,Sa?a_Tehlikeli_Viraj,Train/20/00020_00008_00010.png
35,35,6,6,30,30,Sa?a_Tehlikeli_Viraj,Train/20/00020_00008_00011.png
35,35,5,5,30,30,Sa?a_Tehlikeli_Viraj,Train/20/00020_00008_00012.png
36,36,6,6,31,31,Sa?a_Tehlikeli_Viraj,Train/20/00020_00008_00013.png
36,36,6,6,31,31,Sa?a_Tehlikeli_Viraj,Train/20/00020_00008_00014.png
40,40,6,6,35,35,Sa?a_Tehlikeli_Viraj,Train/20/00020_00008_00015.png
39,40,5,6,34,35,Sa?a_Tehlikeli_Viraj,Train/20/00020_00008_00016.png
40,40,6,6,35,35,Sa?a_Tehlikeli_Viraj,Train/20/00020_00008_00017.png
40,40,5,5,35,35,Sa?a_Tehlikeli_Viraj,Train/20/00020_00008_00018.png
41,40,6,5,36,35,Sa?a_Tehlikeli_Viraj,Train/20/00020_00008_00019.png
42,43,5,6,37,38,Sa?a_Tehlikeli_Viraj,Train/20/00020_00008_00020.png
44,44,5,5,39,39,Sa?a_Tehlikeli_Viraj,Train/20/00020_00008_00021.png
45,45,6,6,40,40,Sa?a_Tehlikeli_Viraj,Train/20/00020_00008_00022.png
48,48,5,5,43,43,Sa?a_Tehlikeli_Viraj,Train/20/00020_00008_00023.png
50,50,5,5,45,45,Sa?a_Tehlikeli_Viraj,Train/20/00020_00008_00024.png
53,53,6,6,48,48,Sa?a_Tehlikeli_Viraj,Train/20/00020_00008_00025.png
55,55,6,6,50,50,Sa?a_Tehlikeli_Viraj,Train/20/00020_00008_00026.png
61,61,6,6,56,56,Sa?a_Tehlikeli_Viraj,Train/20/00020_00008_00027.png
73,72,7,6,67,66,Sa?a_Tehlikeli_Viraj,Train/20/00020_00008_00028.png
76,76,6,6,70,70,Sa?a_Tehlikeli_Viraj,Train/20/00020_00008_00029.png
36,36,5,5,31,31,Sa?a_Tehlikeli_Viraj,Train/20/00020_00009_00000.png
37,36,6,5,32,31,Sa?a_Tehlikeli_Viraj,Train/20/00020_00009_00001.png
36,36,5,5,31,31,Sa?a_Tehlikeli_Viraj,Train/20/00020_00009_00002.png
37,36,6,5,32,31,Sa?a_Tehlikeli_Viraj,Train/20/00020_00009_00003.png
38,38,6,6,33,33,Sa?a_Tehlikeli_Viraj,Train/20/00020_00009_00004.png
39,38,6,5,34,33,Sa?a_Tehlikeli_Viraj,Train/20/00020_00009_00005.png
39,40,5,6,34,35,Sa?a_Tehlikeli_Viraj,Train/20/00020_00009_00006.png
39,40,5,6,34,35,Sa?a_Tehlikeli_Viraj,Train/20/00020_00009_00007.png
39,39,5,5,34,34,Sa?a_Tehlikeli_Viraj,Train/20/00020_00009_00008.png
40,40,6,6,35,35,Sa?a_Tehlikeli_Viraj,Train/20/00020_00009_00009.png
39,40,5,6,34,35,Sa?a_Tehlikeli_Viraj,Train/20/00020_00009_00010.png
40,40,6,6,35,35,Sa?a_Tehlikeli_Viraj,Train/20/00020_00009_00011.png
40,40,6,6,35,35,Sa?a_Tehlikeli_Viraj,Train/20/00020_00009_00012.png
39,39,5,5,34,34,Sa?a_Tehlikeli_Viraj,Train/20/00020_00009_00013.png
43,42,6,5,38,37,Sa?a_Tehlikeli_Viraj,Train/20/00020_00009_00014.png
43,43,6,6,38,38,Sa?a_Tehlikeli_Viraj,Train/20/00020_00009_00015.png
43,42,6,5,38,37,Sa?a_Tehlikeli_Viraj,Train/20/00020_00009_00016.png
43,43,6,6,38,38,Sa?a_Tehlikeli_Viraj,Train/20/00020_00009_00017.png
45,44,6,5,40,39,Sa?a_Tehlikeli_Viraj,Train/20/00020_00009_00018.png
45,44,6,5,40,39,Sa?a_Tehlikeli_Viraj,Train/20/00020_00009_00019.png
47,47,6,6,42,42,Sa?a_Tehlikeli_Viraj,Train/20/00020_00009_00020.png
47,47,6,6,42,42,Sa?a_Tehlikeli_Viraj,Train/20/00020_00009_00021.png
47,47,6,6,42,42,Sa?a_Tehlikeli_Viraj,Train/20/00020_00009_00022.png
50,50,6,6,45,45,Sa?a_Tehlikeli_Viraj,Train/20/00020_00009_00023.png
52,52,5,5,47,47,Sa?a_Tehlikeli_Viraj,Train/20/00020_00009_00024.png
54,54,5,5,49,49,Sa?a_Tehlikeli_Viraj,Train/20/00020_00009_00025.png
